ID_NOTICIERO,FECHA_TESTIGO,TIPO_VALORACION,CANDIDATO,FRASE_ESTEREOTIPO_GENERAL,FRASE_POSITIVA,FRASE_NEGATIVA,FRASE_ENFOQUE,DURACION_MINUTOS
1,03/04/2024,S,SE,,,,,1.0166666666666666
1,03/05/2024,N,BXGR,,,"Como sea, si en sus cifras, en las de ustedes, en las del equipo de campaña de Xóchitl Gálvez, están abajo entre 6 y 9 puntos, en un mes se ve durísimo, Max. Se ve durísimo.",,0.2
1,03/05/2024,N,JAM,,,"Creo que pocas veces un candidato que está completamente afuera de la competencia, como es Jorge Álvarez Máynez ha tenido más cobertura.",,0.3333333333333333
1,03/05/2024,N,JAM,,,"Entendemos, es parte de su estrategia. Decir: ""Ya vamos a casi llegar al segundo lugar"" (...) Están haciendo su trabajo. Está bien. Pero eso no es cierto. No hay ninguna encuesta en la que medianamente, en la que supere los dos dígitos.","Entendemos, es parte de su estrategia. Decir: ""Ya vamos a casi llegar al segundo lugar"" (...) Están haciendo su trabajo. Está bien. Pero eso no es cierto. No hay ninguna encuesta en la que medianamente, en la que supere los dos dígitos.",0.5
1,03/05/2024,N,JAM,,,"Entendemos, es parte de su estrategia. Decir: ""Ya vamos a casi llegar al segundo lugar"" (...) Están haciendo su trabajo. Está bien. Pero eso no es cierto. No hay ninguna encuesta en la que medianamente, en la que supere los dos dígitos.",,0.5
1,03/05/2024,N,JAM,,,"Viendo los números esa sigue siendo la posición, creo, que conserva Jorge Álvarez Máynez, por más que cuando tú escuchas el raciocinio de quien está en MOVIMIENTO CIUDADANO, del propio Jorge, de la gente, de la coordinación nacional de MOVIMIENTO CIUDADANO ellos suponen o sugieren que a partir de otras cruces de valoraciones o de las encuestas pues ellos no están, no solo en segundo sino casi llegando al primer lugar. Eso no se acredita. No es que no se acredite. Es una mentira.","Viendo los números esa sigue siendo la posición, creo, que conserva Jorge Álvarez Máynez, por más que cuando tú escuchas el raciocinio de quien está en MOVIMIENTO CIUDADANO, del propio Jorge, de la gente, de la coordinación nacional de MOVIMIENTO CIUDADANO ellos suponen o sugieren que a partir de otras cruces de valoraciones o de las encuestas pues ellos no están, no solo en segundo sino casi llegando al primer lugar. Eso no se acredita. No es que no se acredite. Es una mentira.",1.1833333333333333
1,03/05/2024,N,JAM,,,"Viendo los números esa sigue siendo la posición, creo, que conserva Jorge Álvarez Máynez, por más que cuando tú escuchas el raciocinio de quien está en MOVIMIENTO CIUDADANO, del propio Jorge, de la gente, de la coordinación nacional de MOVIMIENTO CIUDADANO ellos suponen o sugieren que a partir de otras cruces de valoraciones o de las encuestas pues ellos no están, no solo en segundo sino casi llegando al primer lugar. Eso no se acredita. No es que no se acredite. Es una mentira.",,1.1833333333333333
1,03/05/2024,S,BXGR,,,,,9.716666666666665
1,03/05/2024,S,CSP,,,,,8.083333333333334
1,03/05/2024,S,JAM,,,,,1.7000000000000002
1,04/03/2024,S,BXGR,,,,,7.449999999999999
1,04/03/2024,S,CSP,,,,,7.633333333333332
1,04/03/2024,S,JAM,,,,,6.316666666666667
1,04/04/2024,P,BXGR,,"Bien, también, Xóchitl Gálvez agradeció en la noche el mensaje de Beatriz Gutiérrez Müller.",,"Bien, también, Xóchitl Gálvez agradeció en la noche el mensaje de Beatriz Gutiérrez Müller.",0.7
1,04/04/2024,P,BXGR,,"Pero creo que bien enfrentado, bien corregido.",,,0.36666666666666664
1,04/04/2024,P,BXGR,,"Pero cuando menos, este episodio dejó un momento pues de grandeza, un hecho que ojalá tuviéramos más de esos, como decía el abogado Fernando Gómez Mont, ""en algunos pleitos legales hay hechos que enaltecen los pleitos"". Lo de ayer, el mensaje en redes sociales de Beatriz Gutiérrez Müller lo hizo y la respuesta también de Xóchitl Gálvez lo redondeó.",,"Pero cuando menos, este episodio dejó un momento pues de grandeza, un hecho que ojalá tuviéramos más de esos, como decía el abogado Fernando Gómez Mont, ""en algunos pleitos legales hay hechos que enaltecen los pleitos"". Lo de ayer, el mensaje en redes sociales de Beatriz Gutiérrez Müller lo hizo y la respuesta también de Xóchitl Gálvez lo redondeó.",0.7
1,04/04/2024,S,BXGR,,,,,12.250000000000002
1,04/04/2024,S,CSP,,,,,8.616666666666665
1,04/04/2024,S,JAM,,,,,0.9333333333333333
